"X.lines"	"line"	"cross.."	"sim"
"14x26"	"14"	"53"	-1.17606130715817
"14x26"	"14"	"53"	-0.423981660252849
"14x26"	"14"	"53"	-1.91249331303505
"14x26"	"14"	"53"	-0.558084505415844
"14x26"	"14"	"53"	-1.88623147769404
"14x26"	"14"	"53"	-0.599152767020029
"14x26"	"14"	"53"	-1.78140705399767
"14x26"	"14"	"53"	0.017933202263574
"14x26"	"14"	"54"	-0.899259633491201
"14x26"	"14"	"54"	-2.02121785137463
"14x26"	"14"	"54"	-0.134161064381833
"14x26"	"26"	"52"	-0.300206797568813
"14x26"	"26"	"52"	-1.64826693202735
"14x26"	"26"	"53"	-0.143137615853268
"14x26"	"26"	"53"	0.669040120571432
"14x26"	"26"	"53"	-0.333778638949562
"14x26"	"26"	"53"	-0.0512774052343681
"14x26"	"26"	"53"	0.11496964797295
"14x26"	"26"	"53"	-1.29910193474559
"14x26"	"26"	"54"	-1.37221838481477
"14x26"	"26"	"54"	-0.007052357537079
"14x26"	"26"	"54"	1.17678360853944
"14x26"	"26"	"54"	-1.23388644642914
"1x13"	"13"	"39"	-1.86443989794751
"1x13"	"13"	"39"	0.537408790014092
"1x13"	"13"	"41"	-1.26111227020637
"1x13"	"13"	"41"	-0.496545332155002
"1x13"	"13"	"41"	-0.323772259476581
"1x13"	"13"	"41"	-0.472833667365717
"1x13"	"13"	"41"	0.506983358211725
"1x13"	"1"	"39"	0.038147668958488
"1x13"	"1"	"39"	-2.41148384871636
"1x13"	"1"	"39"	-0.221360878560348
"1x13"	"1"	"41"	0.058471147299924
"1x13"	"1"	"41"	0.450566498260112
"1x13"	"1"	"41"	-0.053183978505941
"1x13"	"1"	"41"	-0.689793117955619
"1x13"	"1"	"41"	0.438012749919685
"22x8"	"22"	"46"	0.481192703118773
"22x8"	"22"	"46"	-0.222364232169619
"22x8"	"22"	"47"	0.067142305807385
"22x8"	"22"	"47"	-1.56288252234253
"22x8"	"22"	"47"	0.658610215294402
"22x8"	"22"	"47"	1.18319326086139
"22x8"	"22"	"47"	0.817544425825248
"22x8"	"22"	"47"	-0.493090115860089
