fertil yA yB yC
1 6.28177694778921 5.90400532572532 1.94924835717739
1 5.21821743527893 5.57822665350175 2.50424007535849
1 0.902684741685602 4.06766515267344 1.72191033668721
1 2.44977744928106 4.53581457276577 1.66949899731177
1 4.38487010090148 5.75646677331545 2.44162425926318
1 2.52369790591987 5.25707346732863 1.93527115909591
1 3.87035105501084 5.50675012217372 1.89782651010694
1 8.77015537436559 4.58050966872683 1.34700097287827
1 5.91258712959219 4.96108263404968 0.193368994539211
1 1.3244311960221 5.28259018725413 1.64409540031925
2 1.62431259716918 5.21810037301086 4.54412372221876
2 7.3923171411968 4.63126645449489 5.17522991819642
2 6.80051127960625 5.13736957426578 5.25283915674745
2 3.90267823275633 4.84276589975366 4.22330655139946
2 5.21625667070124 5.36753359441521 5.04157105331807
2 6.37765251684004 3.82543250442517 4.51217691363677
2 0.55 4.60189551712122 5.90651184341471
2 6.34250239190464 5.17027250926231 4.83703467202406
2 10.4649917472343 5.16123077806935 5.93495235717282
2 3.51359726032718 4.61593715570698 4.85759007793727
3 5.55905865101418 5.64797075990952 9.76987372935176
3 3.18416561790393 4.7809121955087 8.99430621850684
3 2.48449130642751 5.35361923370087 8.75995033100446
3 9.70259693938593 4.94234243178111 9.01319137429273
3 1.13293255830887 5.58290465316682 10.0456604287187
3 7.79515120196586 5.34708136683015 8.33569550441638
3 4.77983591138096 4.53369589793775 8.36370631050611
3 2.81179272897281 4.63949473064068 10.1706967916146
3 6.3829106307583 4.10040835449428 9.36162404556426
3 0.55 5.4524980547607 7.78763431149877
